Code,Swahili,Luo,Kikuyu,Gusii
GEN,Mwanzo,Chakruok,Kĩambĩrĩria,Okaochi
EXO,Kutoka,Wuok,Thaama,Okorwa
LEV,Mambo Ya Walawi,Tim Jo-Lawi,Alawii,Abalawi
NUM,Hesabu,Kwan,Ndari,Emanyeso
DEU,Kumbukumbu La Torati,Rapar Mar Chik,Gũcookerithia,Ekerorano
JOSH,Yoshua,Joshua,Joshua,Yosuwa
JDG,Waamuzi,Jongʼad Bura,Atiirĩrĩri,Abaria
RUTH,Ruthu,Ruth,Ruthu,Ruthi
1SAM,1 Samweli,1 Samuel,1 Samũeli,1 Samweli
2SAM,2 Samweli,2 Samuel,2 Samũeli,2 Samweli
1KIN,1 Wafalme,1 Ruodhi,1 Athamaki,1 Abarwoti
2KIN,2 Wafalme,2 Ruodhi,2 Athamaki,2 Abarwoti
1CHR,1 Mambo Ya Nyakati,1 Weche Mag Ndalo,1 Maũndũ Ma Matukũ Ma Tene,1 Amang'ana 'Ebiro
2CHR,2 Mambo Ya Nyakati,2 Weche Mag Ndalo,2 Maũndũ ma Matukũ ma Tene,2 Amang'ana 'Ebiro
EZRA,Ezra,Ezra,Ezara,Ezra
NEH,Nehemia,Nehemia,Nehemia,Nehemia
EST,Esta,Esta,Esiteri,Eseteri
JOB,Ayubu,Ayub,Ayubu,Yobu
PSA,Zaburi,Zaburi,Thaburi,Zaburi
PRO,Mithali,Ngeche,Thimo,Kamang'ana
ECC,Mhubiri,Eklesiastes,Kohelethu,Omotemeri
SNG,Wimbo Ulio Bora,Wer Mamit,Rwĩmbo,Omoasani
ISA,Isaya,Isaya,Isaia,Isaya
JER,Yeremia,Jeremia,Jeremia,Yeremia
LAM,Maombolezo,Ywagruok,Macakaya,Kamanyong'o
EZK,Ezekieli,Ezekiel,Ezekieli,Ezekieli
DAN,Danieli,Daniel,Danieli,Danieli
HOS,Hosea,Hosea,Hosea,Hosea
JOEL,Yoeli,Joel,Joeli,Yoeli
AMOS,Amosi,Amos,Amosi,Amosi
OBA,Obadia,Obadia,Obadia,Obadia
JON,Yona,Jona,Jona,Yona
MIC,Mika,Mika,Mika,Mika
NAH,Nahumu,Nahum,Nahumu,Nahumu
HAB,Habakuki,Habakuk,Habakuku,Habakuki
ZEP,Sefania,Zefania,Zefania,Zefania
HAG,Hagai,Hagai,Hagai,Hagai
ZECH,Zekaria,Zekaria,Zekaria,Zekaria
MAL,Malaki,Malaki,Malaki,Malaki
MAT,Mathayo,Mathayo,Mathayo,Matayo
MRK,Marko,Mariko,Mariko,Mariko
LUK,Luka,Luka,Luka,Luka
JHN,Yohana,Johana,Johana,Yohana
ACT,Matendo Ya Mitume,Tich Joote,Atũmwo,Ogokora
ROM,Warumi,Jo-Rumi,Aroma,Abaromi
1COR,1 Wakorintho,1 Jo-Korintho,1 Akorinitho,1 Abakorinto
2COR,2 Wakorintho,2 Jo-Korintho,2 Akorinitho,2 Abakorinto
GAL,Wagalatia,Jo-Galatia,Agalatia,Abagalatia
EPH,Waefeso,Jo-Efeso,Aefeso,Abaefeso
PHP,Wafilipi,Jo-Filipi,Afilipi,Abafilipi
COL,Wakolosai,Jo-Kolosai,Akolosai,Abakolosai
1THS,1 Wathesalonike,1 Jo-Thesalonika,1 Athesalonike,1 Abatesalonika
2THS,2 Wathesalonike,2 Jo-Thesalonika,2 Athesalonike,2 Abatesalonika
1TIM,1 Timotheo,1 Timotheo,1 Timotheo,1 Timoteo
2TIM,2 Timotheo,2 Timotheo,2 Timotheo,2 Timoteo
TIT,Tito,Tito,Tito,Tito
PHLM,Filemoni,Filemon,Filemona,Filemoni
HEB,Waebrania,Jo-Hibrania,Ahibirania,Abaheberi
JAS,Yakobo,Jakobo,Jakubu,Yakobo
1PET,1 Petro,1 Petro,1 Petero,1 Petero
2PET,2 Petro,2 Petro,2 Petero,2 Petero
1JHN,1 Yohana,1 Johana,1 Johana,1 Yohana
2JHN,2 Yohana,2 Johana,2 Johana,2 Yohana
3JHN,3 Yohana,3 Johana,3 Johana,3 Yohana
JUDE,Yuda,Juda,Judasi,Yuda
REV,Ufunuo,Fweny,Kũguũrĩrio,Ogokusurwa
